Latitude,Longitude,Season,sst
-36.0,158.0,Summer,21.803102890769228
-36.0,158.0,Winter,17.707765371794874
-36.0,160.0,Autumn,20.90508158974359
-36.0,160.0,Spring,17.625166604102564
-36.0,160.0,Summer,21.39590522
-36.0,160.0,Winter,17.465579205128204
-34.0,110.0,Autumn,19.54289144871795
-34.0,110.0,Spring,16.647240587692306
-34.0,110.0,Summer,19.391201734358972
-34.0,110.0,Winter,17.035890038461538
-34.0,112.0,Autumn,20.18058655128205
-34.0,112.0,Spring,17.19609725948718
-34.0,112.0,Summer,19.837139348717944
-34.0,112.0,Winter,17.710611384615387
-34.0,114.0,Autumn,20.804971025641024
-34.0,114.0,Spring,17.712874663589744
-34.0,114.0,Summer,20.295000609230772
-34.0,114.0,Winter,18.338703397435896
-34.0,116.0,Autumn,21.008114525641023
-34.0,116.0,Spring,17.873982503589744
-34.0,116.0,Summer,20.429987864615384
-34.0,116.0,Winter,18.549689448717952
-34.0,120.0,Autumn,19.345785179487184
-34.0,120.0,Spring,16.39624808179487
-34.0,120.0,Summer,19.095269921025643
-34.0,120.0,Winter,17.000570634615386
-34.0,122.0,Autumn,19.288575346153845
-34.0,122.0,Spring,16.31840041794872
-34.0,122.0,Summer,19.12292434102564
-34.0,122.0,Winter,16.80942664102564
-34.0,124.0,Autumn,19.219965653846153
-34.0,124.0,Spring,16.228656445641025
-34.0,124.0,Summer,19.199049536923077
-34.0,124.0,Winter,16.463637782051283
-34.0,126.0,Autumn,19.232800205128203
